Country Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,6.878496998,6.802394227,6.746265679,6.736798063,6.859294436,7.275363904,7.149301206,6.98489436,6.904383036,6.884500416,6.983064052,7.152156937,7.274298271,7.237562582,7.426776832,7.910290511,8.303938952,7.748144367
Afghanistan,7.925,7.925,7.924,7.928,7.923,7.921,7.918,7.914,7.914,7.91,9.002,10.092,11.18,11.131,11.082,11.71,12.075,14.1
Africa Western and Central,4.335384372,4.218898665,4.195954767,4.211853979,4.252491146,4.225754623,4.201854899,4.159264285,3.816216105,3.932125352,4.197575565,4.164129809,4.238482072,4.266694974,4.277482762,4.737500864,4.585014202,3.80907955
Angola,16.173,15.969,15.905,16.013,16.298,16.551,16.77,16.495,16.423,16.317,16.448,16.577,16.639,16.626,16.5,16.698,15.8,14.478
Albania,15.97,15.63,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.05,17.19,15.42,13.62,12.3,11.47,12.833,12.59,11.629
Andorra,,,,,,,,,,,,,,,,,,
Arab World,11.06011195,10.35228803,9.964707404,9.677903752,9.307563346,9.383229378,10.47760103,10.95835558,11.02971277,11.12026718,11.28276128,11.07654706,11.45383984,11.05924888,10.67356714,11.97501803,11.68417612,10.73288342
United Arab Emirates,3.12,2.96,2.917,2.795,2.887,2.756,2.544,2.256,2.07,1.956,1.789,1.64,2.46,2.24,2.33,4.29,3.11,2.971
Argentina,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,7.583,8.085,8.35,9.22,9.84,11.46,8.74,6.805
Armenia,10.137,9.979,9.81,10.126,10.512,10.851,11.16,11.385,11.682,11.989,12.308,12.625,12.914,13.21,12.2,12.18,10.01,8.588
American Samoa,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,
Australia,5.04,4.79,4.38,4.24,5.57,5.21,5.08,5.23,5.66,6.08,6.06,5.71,5.59,5.3,5.16,6.46,5.12,3.7
Austria,5.68,5.32,4.91,4.2,5.37,4.88,4.64,4.91,5.37,5.67,5.8,6.06,5.56,4.93,4.56,5.2,6.46,4.99
Azerbaijan,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,5,7.24,6.04,5.65
Burundi,3.244,3.18,2.424,1.63,1.625,1.604,1.602,1.589,1.575,1.57,1.517,1.383,1.263,1.143,1.027,1.03,1.138,0.906
Belgium,8.44,8.25,7.46,6.98,7.91,8.29,7.14,7.54,8.43,8.52,8.48,7.83,7.09,5.95,5.36,5.55,6.26,5.56
